nº,valor,nombre,lat,lng,linea,IDs,dir_izq,dir_der,frec,dir_izq_s,dir_der_s,frec_finde,dir_izq_d,dir_der_d,tiempo_sig,tiempo_ant,escalera,mecánica,ascensor
1,observatorio,Observatorio,19.398237,-99.200363,1,1,5:00,5:51,5,6:00,6:58,6,7:00,7:58,3,3,1,1,1
2,tacubaya,Tacubaya,19.403439,-99.187102,1,2,5:03,5:48,5,6:03,6:55,6,7:02,7:55,3,3,1,1,1
3,juanacatlan,Juanacatlan,19.412890,-99.182167,1,3,5:06,5:45,5,6:06,6:52,6,7:04,7:52,3,3,1,1,0
4,chapultepec,Chapultepec,19.419613,-99.189477,1,4,5:09,5:42,5,6:09,6:49,6,7:06,7:49,3,3,1,1,0
5,sevilla,Sevilla,19.411121,-99.122709,1,5,5:12,5:39,5,6:12,6:46,6,7:08,7:46,3,3,1,1,0
6,insurgentes,Insurgentes,19.470072,-99.136520,1,6,5:15,5:36,5,6:15,6:43,6,7:10,7:43,3,3,1,1,1
7,cuauhtemoc,Cuauhtemoc,19.435669,-99.149516,1,7,5:18,5:33,5,6:18,6:40,6,7:12,7:40,3,3,1,1,1
8,balderas,Balderas,19.432442,-99.147810,1,8,5:21,5:30,5,6:21,6:37,6,7:14,7:37,3,3,1,1,1
9,universidad,Universidad,19.305000,-99.232222,3,1,5:26,5:00,4,6:26,6:00,4,7:26,7:00,2,0,1,1,1
10,copilco,Copilco,19.313611,-99.220833,3,2,5:24,5:02,4,6:24,6:02,4,7:24,7:02,2,2,1,1,0
11,madquevedo,M. A. De Quevedo,19.315556,-99.203611,3,3,5:22,5:04,4,6:22,6:04,4,7:22,7:04,2,2,1,1,0
12,viveros,Viveros,19.359167,-99.162500,3,4,5:20,5:06,4,6:20,6:06,4,7:20,7:06,2,2,1,1,0
13,coyoacan,Coyoacan,19.358611,-99.162222,3,5,5:18,5:08,4,6:18,6:08,4,7:18,7:08,2,2,1,1,0
14,zapata,Zapata,19.358333,-99.161111,3,6,5:16,5:10,4,6:16,6:10,4,7:16,7:10,1,2,1,1,0
15,divnorte,División del Norte,19.357778,-99.160000,3,7,5:14,5:12,4,6:14,6:12,4,7:14,7:12,2,1,1,1,0
16,eugenia,Eugenia,19.357222,-99.158889,3,8,5:12,5:14,4,6:12,6:14,4,7:12,7:14,2,2,1,0,0
17,etiopia,Etiopia,19.356667,-99.157778,3,9,5:10,5:16,4,6:10,6:16,4,7:10,7:16,2,2,1,1,1
18,centrome,Centro Médico,19.352222,-99.161111,3,10,5:08,5:18,4,6:08,6:18,4,7:08,7:18,1,2,1,1,1
19,hospitalgen,Hospital General,19.352222,-99.164444,3,11,5:06,5:20,4,6:06,6:20,4,7:06,7:20,2,1,1,1,1
20,niñosheroes,Niños Heroes,19.352222,-99.167222,3,12,5:04,5:22,4,6:04,6:22,4,7:04,7:22,2,2,1,1,0
21,balderas,Balderas,19.352222,-99.170000,3,13,5:02,5:24,4,6:02,6:24,4,7:02,7:24,1,2,1,1,1
22,juarez,Juarez,19.352222,-99.173333,3,14,5:00,5:26,4,6:00,6:26,4,7:00,7:26,0,1,1,0,0
23,barrancamuerto,Barranca del muerto,19.36167,-99.18925,7,1,5:25,5:00,5,6:25,6:00,7,7:25,7:00,2,0,1,1,0
24,mixcoac,Mixcoac,19.37672,-99.18789,7,2,5:27,5:02,5,6:27,6:02,7,7:27,7:02,2,2,1,1,1
25,santonio,San Antonio,19.38530,-99.18669,7,3,5:29,5:04,5,6:29,6:04,7,7:29,7:04,2,2,1,1,0
26,sppinos,San Pedro de los pinos,19.39185,-99.18575,7,4,5:31,5:06,5,6:31,6:06,7,7:31,7:06,2,2,1,1,0
27,tacubayab,Tacubaya,19.403439,-99.18740,7,5,5:34,5:08,5,6:34,6:08,7,7:34,7:08,3,3,1,1,0
28,constituyentes,Constituyentes,19.41222,-99.19140,7,6,5:36,5:11,5,6:36,6:11,7,7:36,7:11,2,2,1,1,0
29,auditorio,Auditorio,19.42513,-99.19207,7,7,5:38,5:13,5,6:38,6:13,7,7:38,7:13,2,2,1,1,0
30,polanco,Polanco,19.43390,-99.19134,7,8,5:40,5:15,5,6:40,6:15,7,7:40,7:15,0,2,1,1,0
31,tacubayac,Tacubaya,19.403439,-99.187102,9,1,5:00,5:30,5,6:00,6:10,3,7:00,7:10,3,0,0,0,1
32,patriotismo,Patriotismo,19.4062495,-99.1788822,9,2,5:03,5:27,5,6:03,6:07,3,7:03,7:07,2,3,0,0,1
33,chilpancingo,Chilpancingo,19.4059,-99.1686,9,3,5:05,5:25,5,6:05,6:05,3,7:05,7:05,2,2,0,0,1
34,cntomedico,Centro Médico,19.406637,-99.155753,9,4,5:07,5:23,5,6:07,6:03,3,7:07,7:03,3,2,1,1,1
35,lazarodecard,Lazaro de Cardenas,19.40696,-99.144874,9,5,5:10,5:20,5,6:10,6:00,3,7:10,7:00,0,3,1,1,1
36,mixcoac,Mixcoac,19.375891,-99.187531,12,1,5:00,5:00,5,5:00,5:00,7,5:00,5:00,2,0,1,1,1
37,insurgentesur,Insurgentes Sur,19.3736,-99.1788,12,2,5:00,5:00,5,5:05,5:05,7,5:05,5:05,2,3,1,1,1
38,h20noviembre,Hospital 20 de noviembre,19.371904,-99.171213,12,3,5:00,5:00,5,5:10,5:10,7,5:10,5:10,3,2,1,1,1
39,zapata,Zapata,19.37067,-99.16481,12,4,5:00,5:00,5,5:15,5:15,7,5:15,5:15,4,2,1,1,1
40,parquevenados,Parque de los Venados,19.370739,-99.158493,12,5,5:00,5:00,5,5:20,5:20,7,5:20,5:20,2,2,1,1,1
41,ejecentral,Eje Central,19.361340,-99.151420,12,6,5:00,5:00,5,5:25,5:25,7,5:25,5:25,0,3,1,1,1
